Date,Event
2020-03-15,Shutdown
2020-03-16,Shutdown
2020-03-17,Shutdown
2020-03-18,Shutdown
2020-03-19,Shutdown
2020-03-20,Shutdown
2020-03-21,Shutdown
2020-03-22,Shutdown
2020-03-23,Shutdown
2020-03-24,Shutdown
2020-03-25,Shutdown
2020-03-26,Shutdown
2020-03-27,Shutdown
2020-03-28,Shutdown
2020-03-29,Shutdown
2020-03-30,Shutdown
2020-03-31,Shutdown
2020-04-01,Shutdown
2020-04-02,Shutdown
2020-04-03,Shutdown
2020-04-04,Shutdown
2020-04-05,Shutdown
2020-04-06,Shutdown
2020-04-07,Shutdown
2020-04-08,Shutdown
2020-04-09,Shutdown
2020-04-10,Shutdown
2020-04-11,Shutdown
2020-04-12,Shutdown
2020-04-13,Shutdown
2020-04-14,Shutdown
2020-04-15,Shutdown
2020-04-16,Shutdown
2020-04-17,Shutdown
2020-04-18,Shutdown
2020-04-19,Shutdown
2020-04-20,Shutdown
2020-04-21,Shutdown
2020-04-22,Shutdown
2020-04-23,Shutdown
2020-04-24,Shutdown
2020-04-25,Shutdown
2020-04-26,Shutdown
2020-04-27,Shutdown
2020-04-28,Shutdown
2020-04-29,Shutdown
2020-04-30,Shutdown
2020-05-01,Shutdown
2020-05-02,Shutdown
2020-05-03,Shutdown
2020-05-04,Shutdown
2020-05-05,Shutdown
2020-05-06,Shutdown
2020-05-07,Shutdown
2020-05-08,Shutdown
2020-05-09,Shutdown
2020-05-10,Shutdown
2020-05-11,Shutdown
2020-05-12,Shutdown
2020-05-13,Shutdown
2020-05-14,Shutdown
2020-05-15,Shutdown
2020-05-16,Shutdown
2020-05-17,Shutdown
2020-05-18,Shutdown
2020-05-19,Shutdown
2020-05-20,Shutdown
2020-05-21,Shutdown
2020-05-22,Shutdown
2020-05-23,Shutdown
2020-05-24,Shutdown
2020-05-25,Shutdown
2020-05-26,Shutdown
2020-05-27,Shutdown
2020-05-28,Shutdown
2020-05-29,Shutdown
2020-05-30,Shutdown
2020-05-31,Shutdown
2020-06-01,Shutdown
2020-06-02,Shutdown
2020-06-03,Shutdown
2020-06-04,Shutdown
2020-06-05,Shutdown
2020-06-06,Shutdown
2020-06-07,Shutdown
2020-06-08,Shutdown
2020-06-09,Shutdown
2020-06-10,Shutdown
2020-06-11,Shutdown
2020-06-12,Shutdown
2020-06-13,Shutdown
2020-06-14,Shutdown
2020-06-15,Shutdown
2020-06-16,Shutdown
2020-06-17,Shutdown
2020-06-18,Shutdown
2020-06-19,Shutdown
2020-06-20,Shutdown
2020-06-21,Shutdown
2020-06-22,Shutdown
2020-06-23,Shutdown
2020-06-24,Shutdown
2020-06-25,Shutdown
2020-06-26,Summer Break_1
2020-06-27,Summer Break_1
2020-06-28,Summer Break_1
2020-06-29,Summer Break_1
2020-06-30,Summer Break_1
2020-07-01,Summer Break_1
2020-07-02,Summer Break_1
2020-07-03,Summer Break_1
