Sample_Date,WRRF_Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School-Aged Population,Season,Holiday
2021-11-02,26th Ward,6506.0,4152389.8,290608,72091.0,Fall 2021,0
2021-11-02,Bowery Bay,4735.0,1705896.0,924695,122994.0,Fall 2021,0
2021-11-02,Coney Island,2185.0,994063.38,682342,117865.0,Fall 2021,0
2021-11-02,Hunts Point,2340.0,1358955.77,755948,151282.0,Fall 2021,0
2021-11-02,Jamaica Bay,3547.0,1416723.6,748737,131881.0,Fall 2021,0
2021-11-02,Newtown Creek,2088.0,1257769.3,1156473,188137.0,Fall 2021,0
2021-11-02,North River,1382.0,810108.1,658596,72242.0,Fall 2021,0
2021-11-02,Oakwood Beach,3540.0,1605762.36,258731,44374.0,Fall 2021,0
2021-11-02,Owls Head,4433.0,1555070.82,906442,135396.0,Fall 2021,0
2021-11-02,Port Richmond,1245.0,604102.86,226167,46435.0,Fall 2021,0
2021-11-02,Red Hook,6430.0,2607465.52,224029,33636.0,Fall 2021,0
2021-11-02,Rockaway,725.0,500599.49,120539,29986.0,Fall 2021,0
2021-11-02,Tallman Island,2269.0,1183859.28,449907,74748.0,Fall 2021,0
2021-11-02,Wards Island,2069.0,1199252.45,1201485,240219.0,Fall 2021,0
2021-11-07,26th Ward,971.0,632608.93,290608,72091.0,Fall 2021,0
2021-11-07,Bowery Bay,5631.0,2282034.75,924695,122994.0,Fall 2021,0
2021-11-07,Coney Island,2751.0,1236016.45,682342,117865.0,Fall 2021,0
2021-11-07,Hunts Point,1387.0,757285.86,755948,151282.0,Fall 2021,0
2021-11-07,Jamaica Bay,2323.0,927714.61,748737,131881.0,Fall 2021,0
2021-11-07,Newtown Creek,1942.0,1169555.22,1156473,188137.0,Fall 2021,0
2021-11-07,North River,2032.0,1179841.1,658596,72242.0,Fall 2021,0
2021-11-07,Oakwood Beach,3560.0,1609559.23,258731,44374.0,Fall 2021,0
2021-11-07,Owls Head,7494.0,2910478.08,906442,135396.0,Fall 2021,0
2021-11-07,Port Richmond,2984.0,1348312.89,226167,46435.0,Fall 2021,0
2021-11-07,Red Hook,2975.0,1206511.72,224029,33636.0,Fall 2021,0
2021-11-07,Rockaway,278.0,183500.5,120539,29986.0,Fall 2021,0
2021-11-07,Tallman Island,3343.0,1462733.63,449907,74748.0,Fall 2021,0
2021-11-07,Wards Island,1956.0,1078660.97,1201485,240219.0,Fall 2021,0
2021-11-14,26th Ward,1919.0,1249948.39,290608,72091.0,Fall 2021,0
2021-11-14,Bowery Bay,3847.0,1401473.94,924695,122994.0,Fall 2021,0
2021-11-14,Coney Island,4194.0,1814884.32,682342,117865.0,Fall 2021,0
2021-11-14,Hunts Point,2256.0,1208997.83,755948,151282.0,Fall 2021,0
2021-11-14,Jamaica Bay,9029.0,3651681.96,748737,131881.0,Fall 2021,0
2021-11-14,Newtown Creek,3299.0,1879084.47,1156473,188137.0,Fall 2021,0
2021-11-14,North River,2513.0,1386420.81,658596,72242.0,Fall 2021,0
2021-11-14,Oakwood Beach,2557.0,1092279.27,258731,44374.0,Fall 2021,0
2021-11-14,Owls Head,7292.0,2679942.37,906442,135396.0,Fall 2021,0
2021-11-14,Port Richmond,5067.0,2120356.09,226167,46435.0,Fall 2021,0
2021-11-14,Red Hook,3818.0,1483888.87,224029,33636.0,Fall 2021,0
2021-11-14,Rockaway,1324.0,790119.13,120539,29986.0,Fall 2021,0
2021-11-14,Tallman Island,3975.0,1705740.79,449907,74748.0,Fall 2021,0
2021-11-14,Wards Island,4565.0,2315665.77,1201485,240219.0,Fall 2021,0
2021-11-21,26th Ward,4265.0,2610840.15,290608,72091.0,Fall 2021,0
2021-11-21,Bowery Bay,13063.0,4705840.82,924695,122994.0,Fall 2021,0
2021-11-21,Coney Island,4073.0,1694631.52,682342,117865.0,Fall 2021,0
2021-11-21,Hunts Point,2777.0,1460087.28,755948,151282.0,Fall 2021,0
2021-11-21,Jamaica Bay,6434.0,2537367.7,748737,131881.0,Fall 2021,0
2021-11-21,Newtown Creek,4344.0,2445720.55,1156473,188137.0,Fall 2021,0
2021-11-21,North River,5499.0,3002425.47,658596,72242.0,Fall 2021,0
2021-11-21,Oakwood Beach,1784.0,730833.96,258731,44374.0,Fall 2021,0
2021-11-21,Owls Head,7182.0,2519536.24,906442,135396.0,Fall 2021,0
2021-11-21,Port Richmond,5591.0,2339259.29,226167,46435.0,Fall 2021,0
2021-11-21,Red Hook,4705.0,1907858.62,224029,33636.0,Fall 2021,0
2021-11-21,Rockaway,2568.0,1451631.21,120539,29986.0,Fall 2021,0
2021-11-21,Tallman Island,3612.0,1580311.54,449907,74748.0,Fall 2021,0
2021-11-21,Wards Island,5089.0,2757616.18,1201485,240219.0,Fall 2021,0
2021-11-28,26th Ward,2402.0,1564711.87,290608,72091.0,Fall 2021,1
