5-9,10-14, 15-19,WRRF Name,Total Population,Total WRRF Population,Zip Codes Served,Zip_Codes_Served
1012.0,829.0,879.0,North River,2720.0,72242.0,"10001, 10011, 10014, 10018, 10019, 10023, 10024, 10025, 10026, 10027, 10031, 10034, 10036, 10069","['10001', ' 10011', ' 10014', ' 10018', ' 10019', ' 10023', ' 10024', ' 10025', ' 10026', ' 10027', ' 10031', ' 10034', ' 10036', ' 10069']"
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
147.0,176.0,119.0,Newtown Creek,442.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
235.0,198.0,81.0,Newtown Creek,514.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
133.0,90.0,415.0,Newtown Creek,638.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
448.0,242.0,216.0,Newtown Creek,906.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
1242.0,2235.0,2235.0,Newtown Creek,5712.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
1631.0,784.0,1965.0,Newtown Creek,4380.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
1153.0,1218.0,2243.0,North River,4614.0,72242.0,"10001, 10011, 10014, 10018, 10019, 10023, 10024, 10025, 10026, 10027, 10031, 10034, 10036, 10069","['10001', ' 10011', ' 10014', ' 10018', ' 10019', ' 10023', ' 10024', ' 10025', ' 10026', ' 10027', ' 10031', ' 10034', ' 10036', ' 10069']"
199.0,506.0,637.0,Newtown Creek,1342.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
1193.0,1340.0,1031.0,Newtown Creek,3564.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
456.0,649.0,534.0,North River,1639.0,72242.0,"10001, 10011, 10014, 10018, 10019, 10023, 10024, 10025, 10026, 10027, 10031, 10034, 10036, 10069","['10001', ' 10011', ' 10014', ' 10018', ' 10019', ' 10023', ' 10024', ' 10025', ' 10026', ' 10027', ' 10031', ' 10034', ' 10036', ' 10069']"
1379.0,1379.0,1105.0,Newtown Creek,3863.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
226.0,310.0,93.0,Newtown Creek,629.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
141.0,120.0,256.0,North River,517.0,72242.0,"10001, 10011, 10014, 10018, 10019, 10023, 10024, 10025, 10026, 10027, 10031, 10034, 10036, 10069","['10001', ' 10011', ' 10014', ' 10018', ' 10019', ' 10023', ' 10024', ' 10025', ' 10026', ' 10027', ' 10031', ' 10034', ' 10036', ' 10069']"
