5-9,10-14, 15-19,WRRF Name,Total Population,Total WRRF Population,Individual Zip Code
1012.0,829.0,879.0,North River,2720.0,72242.0,10001
1012.0,829.0,879.0,North River,2720.0,72242.0,10011
1012.0,829.0,879.0,North River,2720.0,72242.0,10014
1012.0,829.0,879.0,North River,2720.0,72242.0,10018
1012.0,829.0,879.0,North River,2720.0,72242.0,10019
1012.0,829.0,879.0,North River,2720.0,72242.0,10023
1012.0,829.0,879.0,North River,2720.0,72242.0,10024
1012.0,829.0,879.0,North River,2720.0,72242.0,10025
1012.0,829.0,879.0,North River,2720.0,72242.0,10026
1012.0,829.0,879.0,North River,2720.0,72242.0,10027
1012.0,829.0,879.0,North River,2720.0,72242.0,10031
1012.0,829.0,879.0,North River,2720.0,72242.0,10034
1012.0,829.0,879.0,North River,2720.0,72242.0,10036
1012.0,829.0,879.0,North River,2720.0,72242.0,10069
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10002
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10003
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10004
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10005
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10006
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10007
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10009
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10010
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10012
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10013
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10016
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10017
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10022
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10038
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10280
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,10282
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11205
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11206
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11211
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11213
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11216
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11221
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11222
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11225
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11233
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11237
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11238
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11379
3061.0,3337.0,2555.0,Newtown Creek,8953.0,188137.0,11385
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10002
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10003
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10004
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10005
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10006
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10007
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10009
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10010
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10012
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10013
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10016
924.0,865.0,7320.0,Newtown Creek,9109.0,188137.0,10017
