Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Event
2020-08-31,09/01/2020,26th Ward,26W,389.0,263535.64,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,Summer Break_1
2020-08-31,09/01/2020,Bowery Bay,BB,1204.0,443632.86,,924695,Summer Break_1
2020-08-31,09/01/2020,Coney Island,CI,304.0,168551.56,Concentration below Method Limit of Quantification (above Method Limit of Detection),682342,Summer Break_1
2020-08-31,09/01/2020,Hunts Point,HP,940.0,574446.57,,755948,Summer Break_1
2020-08-31,09/01/2020,Jamaica Bay,JA,632.0,233077.74,,748737,Summer Break_1
2020-08-31,09/01/2020,Newtown Creek,NC,197.0,122396.84,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473,Summer Break_1
2020-08-31,09/01/2020,North River,NR,,,Concentration below Method Limit of Detection,658596,Summer Break_1
2020-08-31,09/01/2020,Oakwood Beach,OB,,,Concentration below Method Limit of Detection,258731,Summer Break_1
2020-08-31,09/01/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,906442,Summer Break_1
2020-08-31,09/01/2020,Port Richmond,PR,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",226167,Summer Break_1
2020-08-31,09/01/2020,Red Hook,RH,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",224029,Summer Break_1
2020-08-31,09/01/2020,Rockaway,RK,371.0,209796.41,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,Summer Break_1
2020-08-31,09/01/2020,Tallman Island,TI,571.0,249962.71,"Concentration below Method Limit of Quantification (above Method Limit of Detection) - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",449907,Summer Break_1
2020-08-31,09/01/2020,Wards Island,WI,1339.0,780535.46,,1201485,Summer Break_1
