Test Date,WRRF Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School Status,School-Aged Population,Season,Holiday
2020-09-01,26th Ward,389.0,263535.64,290608,Summer Break_1,72091.0,Summer 2020,0
2020-09-01,Bowery Bay,1204.0,443632.86,924695,Summer Break_1,122994.0,Summer 2020,0
2020-09-01,Coney Island,304.0,168551.56,682342,Summer Break_1,117865.0,Summer 2020,0
2020-09-01,Hunts Point,940.0,574446.57,755948,Summer Break_1,151282.0,Summer 2020,0
2020-09-01,Jamaica Bay,632.0,233077.74,748737,Summer Break_1,131881.0,Summer 2020,0
2020-09-01,Newtown Creek,197.0,122396.84,1156473,Summer Break_1,188137.0,Summer 2020,0
2020-09-01,North River,,,658596,Summer Break_1,72242.0,Summer 2020,0
2020-09-01,Oakwood Beach,,,258731,Summer Break_1,44374.0,Summer 2020,0
2020-09-01,Owls Head,,,906442,Summer Break_1,135396.0,Summer 2020,0
2020-09-01,Port Richmond,,,226167,Summer Break_1,46435.0,Summer 2020,0
2020-09-01,Red Hook,,,224029,Summer Break_1,33636.0,Summer 2020,0
2020-09-01,Rockaway,371.0,209796.41,120539,Summer Break_1,29986.0,Summer 2020,0
2020-09-01,Tallman Island,571.0,249962.71,449907,Summer Break_1,74748.0,Summer 2020,0
2020-09-01,Wards Island,1339.0,780535.46,1201485,Summer Break_1,240219.0,Summer 2020,0
2020-09-03,26th Ward,,,290608,Summer Break_1,72091.0,Summer 2020,0
2020-09-03,Bowery Bay,,,924695,Summer Break_1,122994.0,Summer 2020,0
2020-09-03,Coney Island,,,682342,Summer Break_1,117865.0,Summer 2020,0
2020-09-03,Hunts Point,,,755948,Summer Break_1,151282.0,Summer 2020,0
2020-09-03,Jamaica Bay,182.0,68976.97,748737,Summer Break_1,131881.0,Summer 2020,0
2020-09-03,Newtown Creek,,,1156473,Summer Break_1,188137.0,Summer 2020,0
2020-09-03,North River,,,658596,Summer Break_1,72242.0,Summer 2020,0
2020-09-03,Oakwood Beach,,,258731,Summer Break_1,44374.0,Summer 2020,0
2020-09-03,Owls Head,,,906442,Summer Break_1,135396.0,Summer 2020,0
2020-09-03,Port Richmond,,,226167,Summer Break_1,46435.0,Summer 2020,0
2020-09-03,Red Hook,242.0,97941.47,224029,Summer Break_1,33636.0,Summer 2020,0
2020-09-03,Rockaway,,,120539,Summer Break_1,29986.0,Summer 2020,0
2020-09-03,Tallman Island,,,449907,Summer Break_1,74748.0,Summer 2020,0
2020-09-03,Wards Island,,,1201485,Summer Break_1,240219.0,Summer 2020,0
2020-09-07,26th Ward,404.0,231752.79,290608,Summer Break_1,72091.0,Summer 2020,0
2020-09-07,Bowery Bay,,,924695,Summer Break_1,122994.0,Summer 2020,0
2020-09-07,Coney Island,,,682342,Summer Break_1,117865.0,Summer 2020,0
2020-09-07,Hunts Point,,,755948,Summer Break_1,151282.0,Summer 2020,0
2020-09-07,Jamaica Bay,437.0,159201.6,748737,Summer Break_1,131881.0,Summer 2020,0
